                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2536,                 3.2894,                 9.6502,                 1.1602,                0.00237,                0.02641,                0.00125,                0.00061,                0.00464,                0.05162,                0.00301,                0.00143,                 1.8899,                 2.5395,                 4.0665,                 1.1123,             0.00054795,             0.00054795,             0.00054795
                      2,                 2.4002,                 2.7397,                  5.924,                 1.3019,                0.00055,                 0.0114,                0.00038,                0.00014,                0.00046,                 0.0096,                0.00033,                0.00011,                 4.3755,                 5.6925,                 4.1225,                 8.3118,               0.001049,               0.001049,               0.001049
                      3,                 2.7048,                 2.7729,                  4.228,                 1.4523,                0.50437,                0.07863,                0.00226,                0.00099,                0.00536,                0.12005,                0.00342,                0.00179,                 2.6416,                 9.4219,                    inf,                 3.0381,               0.001495,               0.001495,               0.001495
                      4,                 2.5625,                 2.6451,                 2.8998,                 1.3509,                0.70569,                0.07683,                0.06479,                0.02535,                0.70821,                0.08523,                0.07919,                0.03066,                 2.3313,                 2.7544,                 1.6324,                 1.3812,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.5456,                 2.6076,                 2.5472,                 1.3343,                0.68594,                0.07383,                0.05873,                0.02111,                0.67683,                0.09004,                0.07067,                0.02668,                  2.296,                 2.6145,                 1.5744,                 1.3764,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.5017,                 2.5564,                  2.537,                 1.2868,                0.15941,                0.05882,                0.04542,                0.01687,                 0.1676,                0.06843,                 0.0535,                0.02052,                 2.4157,                 2.5923,                  2.069,                 1.4022,              0.0012544,              0.0012544,              0.0012544
                      7,                 2.3644,                 2.3153,                 2.2929,                 1.2983,                0.21097,                0.09004,                0.08143,                0.03285,                 0.1984,                0.10324,                0.09773,                0.04305,                 2.1052,                 2.1825,                 1.5214,                 1.2359,              0.0011719,              0.0011719,              0.0011719
                      8,                 2.2567,                  2.341,                 2.1702,                 1.2362,                0.25906,                0.09004,                0.09677,                0.03862,                 0.2459,                0.09817,                 0.1128,                0.05104,                 1.9644,                 2.1491,                 1.6105,                 1.2029,              0.0010894,              0.0010894,              0.0010894
                      9,                 2.2095,                 2.0597,                 2.1042,                 1.2162,                0.24233,                0.09484,                0.09753,                0.04012,                0.18442,                0.09004,                0.10133,                0.04374,                 2.0108,                 2.0464,                 1.4806,                 1.1735,              0.0010069,              0.0010069,              0.0010069
                     10,                 2.0867,                 2.0706,                 2.0782,                 1.1629,                0.22941,                0.07923,                0.09688,                0.04293,                0.19673,                0.07083,                0.09759,                0.04369,                 2.0227,                 1.9702,                 1.5055,                 1.1754,             0.00092435,             0.00092435,             0.00092435
                     11,                 2.0458,                 2.0792,                 2.0864,                 1.1882,                0.28039,                0.08764,                0.10642,                0.04937,                0.26835,                0.09109,                 0.1228,                0.05763,                 1.9557,                 2.0467,                    1.5,                 1.1972,             0.00084184,             0.00084184,             0.00084184
                     12,                 2.1439,                 1.9075,                 2.2275,                  1.194,                 0.2989,                0.08764,                0.10953,                0.05194,                0.20725,                0.09424,                0.10675,                0.05023,                 1.8642,                 2.1719,                 1.6964,                 1.1451,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.9592,                 1.9915,                   1.99,                 1.2177,                0.27847,                0.10144,                0.10681,                0.04824,                 0.2719,                0.10084,                0.11549,                0.05295,                 1.8211,                 1.8855,                 1.5022,                 1.1396,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.9829,                 1.9145,                 1.9773,                 1.1963,                0.28916,                0.09467,                0.11484,                0.05607,                0.27166,                0.09124,                0.12308,                0.05703,                  1.779,                 1.8767,                 1.4572,                  1.125,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.9065,                 2.0764,                 2.1148,                 1.1717,                0.32424,                0.08403,                0.12129,                0.05348,                0.26321,                0.07073,                0.10082,                 0.0461,                 1.7736,                 1.8127,                 1.5908,                 1.0801,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.8413,                 1.7771,                 1.8697,                 1.1425,                0.28516,                0.10119,                0.10902,                0.05249,                0.25829,                0.10684,                0.12242,                0.05686,                 1.6465,                 1.7656,                  1.302,                 1.0746,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.9111,                 1.7583,                 2.0486,                 1.1828,                0.32165,                0.09959,                0.12174,                0.06011,                0.28502,                0.09124,                0.12576,                0.06173,                 1.6141,                 1.7253,                 1.4264,                 1.0529,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.8173,                 1.7225,                  1.874,                 1.0845,                0.28706,                0.09964,                0.12183,                0.06092,                0.25641,                0.09414,                0.11551,                0.05325,                  1.603,                 1.7117,                 1.3426,                 1.0544,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.7117,                 1.6711,                  1.768,                 1.0876,                0.30942,                0.10684,                  0.131,                0.06767,                0.28249,                0.10024,                0.13056,                0.06277,                 1.5691,                 1.7116,                 1.2587,                 1.0314,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.7157,                 1.7809,                 1.8446,                 1.0896,                0.27805,                0.10564,                0.12204,                 0.0629,                0.25535,                0.10204,                0.12281,                0.05899,                 1.6014,                 1.6817,                 1.2469,                 1.0527,             9.9187e-05,             9.9187e-05,             9.9187e-05
